"ID","L","NL"
"CR249211",0,0.7375
"CR249212",0,0.7375
"CR249213",0,0.7375
"CR249214",0,0
"CR249215",0,0
"CR249216",0,0
"CR249217",0,0
"CR249218",0,0
"CR249219",0,0
"CR249220",0,0
"CR249221",0,0
"CR249222",0,0.7375
"CR249223",0,0.7375
"CR249224",0,0.7375
"CR249225",0,0.7375
"CR249226",0,0.7375
"CR249227",0,0.7375
"CR249237",0,0
"CR249238",0,0
"CR249239",0,0
"CR249240",0,0
"CR249241",0,0
"CR249242",0,0
"CR249243",0,0
"CR250175",0,0.71
"CR250176",0,0.71
"CR250177",0,0.71
"CR250178",0,0.71
"CR250179",0,0.71
"CR250180",0,0.71
"CR250181",0,0.71
"CR250182",0,0.71
"CR250183",0,0.71
"CR250184",0,0.71
"CR250185",0,0.71
"CR250186",0,0.71
"CR250187",0,0.71
"CR250188",0,0.71
"CR250189",0,0.71
"CR250190",0,0.71
"CR250191",0,0.71
"CR250192",0,0.71
"CR250193",0,0.71
"CR250194",0,0.71
"CR250195",0,0.71
"CR250196",0,0.71
"CR250197",0,0.71
"CR250198",0,0.71
"CR250199",0,0.71
"CR250200",0,0.71
"CR250201",0,0.71
"CR250202",0,0.71
"CR250203",0,0.71
"CR250204",0,0.71
"CR250205",0,0.71
"CR250206",0,0.71
"CR250207",0,0.7375
"CR250208",0,0.7375
"CR250209",0,0.7375
"CR250210",0,0.7375
"CR250211",0,0.7375
"CR250212",0,0.7375
"CR250213",0,0.7375
"CR250214",0,0
"CR250215",0,0
"CR250216",0,0
"CR250217",0,0
"CR250218",0,0
"CR250219",0,0
"CR250220",0,0.7375
"CR250221",0,0.7375
"CR250222",0,0.7375
"CR250223",0,0.7375
