"","ID","Scenario","CRVl2_NPV","soyarea","Forarea","area_km2","soyperc","forperc"
"215","CR250202","IDC3NoFC",60.7066890750868,7744.72222222222,9670,3025,2560.23875114784,967000
"216","CR250202","IDC3ZD",61.1698111442736,7904.72222222222,9670,3025,2613.13131313131,967000
"217","CR250203","IDC3",126.233857370944,27804.4444444444,149645,3020,9206.76968359088,14964500
"218","CR250203","IDC3NoFC",144.402677673134,30158.8888888889,66008.6111111111,3020,9986.38704930096,6600861.11111111
"219","CR250203","IDC3ZD",96.4503404523742,16966.9444444444,172463.333333333,3020,5618.19352465048,17246333.3333333
"220","CR250204","IDC3",621.983161960723,99983.3333333333,129268.888888889,3014,33172.9705817297,12926888.8888889
"221","CR250204","IDC3NoFC",724.392323395684,124430,51232.2222222222,3014,41284.0079628401,5123222.22222222
"222","CR250204","IDC3ZD",620.656078731771,99587.2222222222,130316.666666667,3014,33041.5468554155,13031666.6666667
"223","CR250205","IDC3",543.726764952734,100286.388888889,130490,3009,33328.8098666962,13049000
"224","CR250205","IDC3NoFC",558.472256821873,104848.055555556,73301.6666666667,3009,34844.8173996529,7330166.66666667
"225","CR250205","IDC3ZD",543.726764952734,100286.388888889,130490,3009,33328.8098666962,13049000
"226","CR250206","IDC3",831.458162465898,126564.444444444,95010,3003,42146.0021460021,9501000
"227","CR250206","IDC3NoFC",836.162918571373,127910,79858.8888888889,3003,42594.0725940726,7985888.88888889
"228","CR250206","IDC3ZD",831.458162465898,126564.444444444,95010,3003,42146.0021460021,9501000
"229","CR250207","IDC3",1180.07787826756,160880,3830,2997,53680.3470136803,383000
"230","CR250207","IDC3NoFC",1180.07787826756,160880,3830,2997,53680.3470136803,383000
"231","CR250207","IDC3ZD",1180.07787826756,160880,3830,2997,53680.3470136803,383000
"232","CR250208","IDC3",291.999047183145,51855.2777777778,67574.7222222222,2991,17337.1039043055,6757472.22222222
"233","CR250208","IDC3NoFC",291.988307982495,51855.2777777778,66617.2222222222,2991,17337.1039043055,6661722.22222222
"234","CR250208","IDC3ZD",306.681979458481,62060.2777777778,103660,2991,20749.0062780935,10366000
"235","CR250209","IDC3",69.2486452088018,8042.5,3128.33333333333,2985,2694.30485762144,312833.333333333
"236","CR250209","IDC3NoFC",69.2123397508529,8047.5,3128.33333333333,2985,2695.97989949749,312833.333333333
"237","CR250209","IDC3ZD",68.655665308487,7993.88888888889,3128.33333333333,2985,2678.01972827098,312833.333333333
"238","CR250211","IDC3",1014.3862029912,151632.222222222,4720,2972,51020.2631972484,472000
"239","CR250211","IDC3NoFC",1014.3862029912,151632.222222222,4720,2972,51020.2631972484,472000
"240","CR250211","IDC3ZD",1014.21781752487,151586.111111111,4720,2972,51004.7480185434,472000
"241","CR250212","IDC3",1321.77828755475,169508.611111111,11520,2965,57169.851976766,1152000
"242","CR250212","IDC3NoFC",1331.917687814,171636.111111111,11520,2965,57887.3899194304,1152000
"243","CR250212","IDC3ZD",1318.3572326469,167925.277777778,11520,2965,56635.8441071763,1152000
"244","CR250213","IDC3",468.475125634694,81538.0555555556,21348.8888888889,2957,27574.5876075602,2134888.88888889
"245","CR250213","IDC3NoFC",490.603157207623,92353.6111111111,21348.8888888889,2957,31232.198549581,2134888.88888889
"246","CR250213","IDC3ZD",460.19528807794,78368.3333333333,21403.3333333333,2957,26502.6490812761,2140333.33333333
"247","CR250222","IDC3",450.048888891166,115333.333333333,23680,2882,40018.5056673606,2368000
"248","CR250222","IDC3NoFC",458.393565260981,121454.444444444,23680,2882,42142.4165317295,2368000
"249","CR250222","IDC3ZD",447.193053395825,113324.444444444,23680,2882,39321.4588634436,2368000
"250","CR250223","IDC3",1020.49580028095,214495.555555556,1730,2873,74659.0865142901,173000
"251","CR250223","IDC3NoFC",1020.49580028095,214495.555555556,1730,2873,74659.0865142901,173000
"252","CR250223","IDC3ZD",1020.12541847831,214390.833333333,1730,2873,74622.6360366632,173000
"253","CR250224","IDC3",1026.12315454932,222962.777777778,6380,2863,77877.3237086196,638000
"254","CR250224","IDC3NoFC",1026.12315454932,222962.777777778,6380,2863,77877.3237086196,638000
"255","CR250224","IDC3ZD",1026.12315454932,222962.777777778,6380,2863,77877.3237086196,638000
"256","CR250225","IDC3",1043.11768107782,237657.777777778,8350,2854,83271.8212255704,835000
"257","CR250225","IDC3NoFC",1043.11768107782,237657.777777778,8350,2854,83271.8212255704,835000
"258","CR250225","IDC3ZD",1043.11768107782,237657.777777778,8350,2854,83271.8212255704,835000
"259","CR250226","IDC3",785.923990109578,206650.833333333,23860,2844,72662.037037037,2386000
"260","CR250226","IDC3NoFC",785.923990109578,206650.833333333,23860,2844,72662.037037037,2386000
"261","CR250226","IDC3ZD",785.516012834411,206494.722222222,23860,2844,72607.1456477575,2386000
"262","CR250227","IDC3",282.274615474523,110254.722222222,15310,2833,38918.0099619563,1531000
"263","CR250227","IDC3NoFC",291.902962518619,118166.111111111,15310,2833,41710.5934031455,1531000
"264","CR250227","IDC3ZD",280.802174145213,108063.888888889,15310,2833,38144.6836882771,1531000
"265","CR251185","IDC3",64.266347701815,8681.80555555555,24096.6666666667,2135,4066.41946396045,2409666.66666667
"266","CR251185","IDC3NoFC",71.3249224356882,12854.3055555556,23786.25,2135,6020.75201665366,2378625
"267","CR251185","IDC3ZD",68.3163330300866,10532.9166666667,35985,2135,4933.45042935207,3598500
"268","CR251186","IDC3",101.931527697748,22403.0555555556,145940.555555556,3074,7287.91657630304,14594055.5555556
"269","CR251186","IDC3NoFC",105.94101048049,27003.6111111111,103166.388888889,3074,8784.51890406998,10316638.8888889
"270","CR251186","IDC3ZD",101.935166388775,22405.2777777778,145954.166666667,3074,7288.6394852888,14595416.6666667
"271","CR251187","IDC3",35.6543078362931,13293.8888888889,170513.75,3072,4327.43778935185,17051375
"272","CR251187","IDC3NoFC",35.574346716469,13333.0555555556,148413.472222222,3072,4340.18735532407,14841347.2222222
"273","CR251187","IDC3ZD",30.2594616603811,7480.55555555556,209728.333333333,3072,2435.07667824074,20972833.3333333
"274","CR251204","IDC3",115.445398931974,23738.3333333333,221470,3014,7876.02300376023,22147000
"275","CR251204","IDC3NoFC",115.278648123587,23738.3333333333,190234.444444444,3014,7876.02300376023,19023444.4444444
"276","CR251204","IDC3ZD",115.44542058221,23738.3333333333,221470,3014,7876.02300376023,22147000
"277","CR251205","IDC3",114.119607734054,20792.7777777778,241971.666666667,3009,6910.19533990621,24197166.6666667
"278","CR251205","IDC3NoFC",114.637432652229,20956.1111111111,232755,3009,6964.47693955171,23275500
"279","CR251205","IDC3ZD",114.119621882185,20792.7777777778,241971.666666667,3009,6910.19533990621,24197166.6666667
"280","CR251206","IDC3",236.835636515447,29567.7777777778,153244.722222222,3003,9846.07984607985,15324472.2222222
"281","CR251206","IDC3NoFC",236.823782531461,29567.7777777778,150032.5,3003,9846.07984607985,15003250
"282","CR251206","IDC3ZD",236.838577969548,29567.7777777778,154022.5,3003,9846.07984607985,15402250
"283","CR251207","IDC3",534.697051734801,113010,103700,2997,37707.7077077077,10370000
"284","CR251207","IDC3NoFC",534.846698728351,113010,108623.333333333,2997,37707.7077077077,10862333.3333333
"285","CR251207","IDC3ZD",534.847000115631,113010,108623.333333333,2997,37707.7077077077,10862333.3333333
"286","CR251208","IDC3",74.5864511248893,7519.44444444444,138048.888888889,2991,2514.02355213789,13804888.8888889
"287","CR251208","IDC3NoFC",74.5864374750749,7519.44444444444,138048.888888889,2991,2514.02355213789,13804888.8888889
"288","CR251208","IDC3ZD",74.5891419971663,7519.44444444444,139550,2991,2514.02355213789,13955000
"289","CR251210","IDC3",180.139676856187,32525.2777777778,4800,2978,10921.8528468025,480000
"290","CR251210","IDC3NoFC",180.141762671846,32525.2777777778,4781.38888888889,2978,10921.8528468025,478138.888888889
"291","CR251210","IDC3ZD",180.139676856187,32525.2777777778,4800,2978,10921.8528468025,480000
"292","CR251211","IDC3",1140.6447243664,132220,3430,2972,44488.5598923284,343000
"293","CR251211","IDC3NoFC",1140.6447243664,132220,3430,2972,44488.5598923284,343000
"294","CR251211","IDC3ZD",1140.6447243664,132220,3430,2972,44488.5598923284,343000
"295","CR251212","IDC3",859.791769726414,145508.888888889,11340,2965,49075.5105864718,1134000
"296","CR251212","IDC3NoFC",861.78923731489,146516.666666667,11340,2965,49415.4019111861,1134000
"297","CR251212","IDC3ZD",859.791769726414,145508.888888889,11340,2965,49075.5105864718,1134000
"298","CR251213","IDC3",622.272233597847,90390.5555555556,9557.5,2957,30568.3312666742,955750
"299","CR251213","IDC3NoFC",644.379647605075,97931.9444444444,9557.5,2957,33118.6825987299,955750
"300","CR251213","IDC3ZD",622.272522238776,90390.5555555556,9557.5,2957,30568.3312666742,955750
"301","CR251214","IDC3",598.346443018862,71401.6666666667,9960,2950,24203.9548022599,996000
"302","CR251214","IDC3NoFC",604.091395744884,73887.7777777778,9960,2950,25046.7043314501,996000
"303","CR251214","IDC3ZD",595.320424661802,70213.6111111111,9960,2950,23801.2241054614,996000
"304","CR251215","IDC3",903.79404126373,117911.111111111,6310,2942,40078.5557821588,631000
"305","CR251215","IDC3NoFC",896.209368060611,114271.666666667,6310,2942,38841.4910491729,631000
"306","CR251215","IDC3ZD",903.79404126373,117911.111111111,6310,2942,40078.5557821588,631000
"307","CR251216","IDC3",426.745697388815,35053.8888888889,7270,2934,11947.474058926,727000
"308","CR251216","IDC3NoFC",435.839622650488,36176.1111111111,7270,2934,12329.9628872226,727000
"309","CR251216","IDC3ZD",441.301635415316,37210.8333333333,7270,2934,12682.6289479664,727000
"310","CR251217","IDC3",174.991808221019,15978.8888888889,40,2926,5461.00098731678,4000
"311","CR251217","IDC3NoFC",174.991808221019,15978.8888888889,40,2926,5461.00098731678,4000
"312","CR251217","IDC3ZD",209.363977828907,19859.4444444444,40,2926,6787.23323460166,4000
