"","Year","ID","L","NL","NVloss","crfrac","DT_NL","DT_L","DT_luc"
"613","X2010","CR245185",1.015,1.6985,0.0196292036640403,0,0.0333402024233724,0,0.0333402024233724
"614","X2012","CR245185",1.015,1.6985,0.0200326770420554,0,0.0340255019559311,0,0.0340255019559311
"615","X2015","CR245185",1.015,1.6985,0.0206397076356485,0,0.0350565434191489,0,0.0350565434191489
"616","X2000","CR262202",1.015,1.603,0.0692642216905797,0.0062594831112609,0.111030547369999,0.00635337535792981,0.117383922727929
"617","X2005","CR262202",1.015,1.603,0.112073190517842,0.0062594831112609,0.179653324400101,0.00635337535792981,0.186006699758031
"618","X2010","CR262202",1.015,1.603,0.113771380815499,0.0062594831112609,0.182375523447244,0.00635337535792981,0.188728898805174
"619","X2012","CR262202",1.015,1.603,0.141828870376413,0.0062594831112609,0.22735167921339,0.00635337535792981,0.233705054571319
"620","X2015","CR262202",1.015,1.603,0.194119019265172,0.0062594831112609,0.31117278788207,0.00635337535792981,0.31752616324
"621","X2000","CR245202",1.015,1.6985,0.142533212190801,0.0773606723520025,0.242092660906075,0.0785210824372825,0.320613743343358
"622","X2005","CR245202",1.015,1.6985,0.238548568134849,0.0773606723520025,0.405174742977041,0.0785210824372825,0.483695825414324
"623","X2010","CR245202",1.015,1.6985,0.292447237054538,0.0773606723520025,0.496721632137132,0.0785210824372825,0.575242714574415
"624","X2012","CR245202",1.015,1.6985,0.331319293225381,0.0773606723520025,0.562745819543309,0.0785210824372825,0.641266901980592
"625","X2015","CR245202",1.015,1.6985,0.35095359626005,0.0773606723520025,0.596094683247695,0.0785210824372825,0.674615765684978
"626","X2010","CR232175",1.015,1.6985,0.0117842992004097,0,0.0200156321918958,0,0.0200156321918958
"627","X2012","CR232175",1.015,1.6985,0.0142374205217987,0,0.0241822587562751,0,0.0241822587562751
"628","X2015","CR232175",1.015,1.6985,0.0239731809009389,0,0.0407184477602446,0,0.0407184477602446
"629","X2000","CR233177",1.015,1.6985,0.000582720557875844,0,0.000989750867552121,0,0.000989750867552121
"630","X2005","CR233177",1.015,1.6985,0.000474070362073237,0,0.000805208509981394,0,0.000805208509981394
"631","X2010","CR233177",1.015,1.6985,0.00192324477513962,0,0.00326663125057464,0,0.00326663125057464
"632","X2012","CR233177",1.015,1.6985,0.000589757363525417,0,0.00100170288194792,0,0.00100170288194792
"633","X2015","CR233177",1.015,1.6985,0.000808191748792855,0,0.00137271368532466,0,0.00137271368532466
"634","X2000","CR239173",1.015,1.6985,0.000338740917250529,0.00139285267389236,0.000575351447950023,0.00141374546400075,0.00198909691195077
"635","X2005","CR239173",1.015,1.6985,0.000315110337315922,0.00139285267389236,0.000535214907931094,0.00141374546400075,0.00194896037193184
"636","X2012","CR239173",1.015,1.6985,7.09657927933596e-05,0.00139285267389236,0.000120535399059521,0.00141374546400075,0.00153428086306027
"637","X2000","CR250226",1.015,1.603,0.0520475724992067,0.0242908206668812,0.0834322587162284,0.0246551829768844,0.108087441693113
"638","X2005","CR250226",1.015,1.603,0.0524921521013724,0.0242908206668812,0.0841449198184999,0.0246551829768844,0.108800102795384
"639","X2010","CR250226",1.015,1.603,0.0476461039284093,0.0242908206668812,0.0763767045972401,0.0246551829768844,0.101031887574125
"640","X2012","CR250226",1.015,1.603,0.0463830827960613,0.0242908206668812,0.0743520817220863,0.0246551829768844,0.0990072646989706
"641","X2015","CR250226",1.015,1.603,0.044094718317871,0.0242908206668812,0.0706838334635472,0.0246551829768844,0.0953390164404316
"642","X2000","CR242213",1.015,1.6985,0.318251592674069,0.000844740804440451,0.540550330156906,0.000857411916507058,0.541407742073413
"643","X2005","CR242213",1.015,1.6985,0.310189693057403,0.000844740804440451,0.526857193657999,0.000857411916507058,0.527714605574506
"644","X2010","CR242213",1.015,1.6985,0.482409196911685,0.000844740804440451,0.819372020954497,0.000857411916507058,0.820229432871004
"645","X2012","CR242213",1.015,1.6985,0.355429166161557,0.000844740804440451,0.603696438725405,0.000857411916507058,0.604553850641912
"646","X2015","CR242213",1.015,1.6985,0.232564860227326,0.000844740804440451,0.395011415096113,0.000857411916507058,0.39586882701262
"647","X2000","CR236189",1.015,1.6985,0.0259169494933015,0,0.0440199387143725,0,0.0440199387143725
"648","X2005","CR236189",1.015,1.6985,0.016224211251956,0,0.0275568228114473,0,0.0275568228114473
"649","X2010","CR236189",1.015,1.6985,0.00597870652411946,0,0.0101548330312169,0,0.0101548330312169
"650","X2012","CR236189",1.015,1.6985,0.018498196438107,0,0.0314191866501248,0,0.0314191866501248
"651","X2015","CR236189",1.015,1.6985,0.024663058039999,0,0.0418902040809384,0,0.0418902040809384
"652","X2000","CR264191",1.015,1.6985,0.196093262248433,0.00390687457062904,0.333064405928964,0.00396547768918847,0.337029883618152
"653","X2005","CR264191",1.015,1.6985,0.283490892053384,0.00390687457062904,0.481509280152672,0.00396547768918847,0.485474757841861
"654","X2010","CR264191",1.015,1.6985,0.346021522459909,0.00390687457062904,0.587717555898155,0.00396547768918847,0.591683033587344
"655","X2012","CR264191",1.015,1.6985,0.282533021542575,0.00390687457062904,0.479882337090064,0.00396547768918847,0.483847814779253
"656","X2015","CR264191",1.015,1.6985,0.324150450809667,0.00390687457062904,0.550569540700219,0.00396547768918847,0.554535018389408
"657","X2000","CR253224",1.015,1.603,0.117340112868516,0.0177726058098486,0.18809620092823,0.0180391948969963,0.206135395825227
"658","X2005","CR253224",1.015,1.603,0.135846042920829,0.0177726058098486,0.217761206802089,0.0180391948969963,0.235800401699085
"659","X2010","CR253224",1.015,1.603,0.126948529655255,0.0177726058098486,0.203498493037374,0.0180391948969963,0.22153768793437
"660","X2012","CR253224",1.015,1.603,0.115413523867841,0.0177726058098486,0.185007878760149,0.0180391948969963,0.203047073657145
"661","X2015","CR253224",1.015,1.603,0.115318526369293,0.0177726058098486,0.184855597769976,0.0180391948969963,0.202894792666973
"662","X2000","CR248200",1.015,1.6985,0.295894641193266,0.000650091823451181,0.502577048066762,0.000659843200802949,0.503236891267565
"663","X2005","CR248200",1.015,1.6985,0.365881006098398,0.000650091823451181,0.62144888885813,0.000659843200802949,0.622108732058932
"664","X2010","CR248200",1.015,1.6985,0.368229932274883,0.000650091823451181,0.62543853996889,0.000659843200802949,0.626098383169692
"665","X2012","CR248200",1.015,1.6985,0.368725912568898,0.000650091823451181,0.626280962498274,0.000659843200802949,0.626940805699077
"666","X2015","CR248200",1.015,1.6985,0.379862273437527,0.000650091823451181,0.645196071433639,0.000659843200802949,0.645855914634442
"667","X2000","CR263200",1.015,1.603,0.103829389195046,0.00489885120287224,0.166438510879658,0.00497233397091532,0.171410844850573
"668","X2005","CR263200",1.015,1.603,0.15550584155299,0.00489885120287224,0.249275864009443,0.00497233397091532,0.254248197980359
"669","X2010","CR263200",1.015,1.603,0.203129880593381,0.00489885120287224,0.32561719859119,0.00497233397091532,0.330589532562106
"670","X2012","CR263200",1.015,1.603,0.214252926980743,0.00489885120287224,0.343447441950132,0.00497233397091532,0.348419775921047
"671","X2015","CR263200",1.015,1.603,0.237507450600652,0.00489885120287224,0.380724443312844,0.00497233397091532,0.38569677728376
"672","X2000","CR268200",1.015,1.603,5.69571398720587e-05,0.0892198057432432,9.13022952149101e-05,0.0905581028293919,0.0906494051246068
"673","X2005","CR268200",1.015,1.603,0.000309006794244896,0.0892198057432432,0.000495337891174568,0.0905581028293919,0.0910534407205665
"674","X2010","CR268200",1.015,1.603,0.00072252478627838,0.0892198057432432,0.00115820723240424,0.0905581028293919,0.0917163100617961
"675","X2012","CR268200",1.015,1.603,0.000238847926660989,0.0892198057432432,0.000382873226437566,0.0905581028293919,0.0909409760558295
"676","X2015","CR268200",1.015,1.603,0.000808993942803903,0.0892198057432432,0.00129681729031466,0.0905581028293919,0.0918549201197065
"677","X2000","CR221182",1.015,1.6985,0.00116132739691044,0,0.00197251458365238,0,0.00197251458365238
"678","X2005","CR221182",1.015,1.6985,0.00188818075781224,0,0.00320707501714409,0,0.00320707501714409
"679","X2010","CR221182",1.015,1.6985,0.00121692611071345,0,0.0020669489990468,0,0.0020669489990468
"680","X2012","CR221182",1.015,1.6985,0.00045895051267656,0,0.000779527445781137,0,0.000779527445781137
"681","X2015","CR221182",1.015,1.6985,0.00118569947952642,0,0.00201391056597563,0,0.00201391056597563
"682","X2000","CR259217",1.015,1.603,0.017103416108283,0.00483611949153523,0.0274167760215777,0.00490866128390826,0.0323254373054859
"683","X2005","CR259217",1.015,1.603,0.0123040064212013,0.00483611949153523,0.0197233222931857,0.00490866128390826,0.0246319835770939
"684","X2010","CR259217",1.015,1.603,0.00641598518929609,0.00483611949153523,0.0102848242584416,0.00490866128390826,0.0151934855423499
"685","X2012","CR259217",1.015,1.603,0.00586961304014709,0.00483611949153523,0.00940898970335579,0.00490866128390826,0.0143176509872641
"686","X2015","CR259217",1.015,1.603,0.00902594487423381,0.00483611949153523,0.0144685896333968,0.00490866128390826,0.0193772509173051
"687","X2000","CR254217",1.015,1.603,0.0754269099835192,0.00992908405780814,0.120909336703581,0.0100780203186753,0.130987357022257
"688","X2005","CR254217",1.015,1.603,0.0883202140077856,0.00992908405780814,0.14157730305448,0.0100780203186753,0.151655323373156
"689","X2010","CR254217",1.015,1.603,0.0851400418549664,0.00992908405780814,0.136479487093511,0.0100780203186753,0.146557507412186
"690","X2012","CR254217",1.015,1.603,0.0822794331511661,0.00992908405780814,0.131893931341319,0.0100780203186753,0.141971951659995
"691","X2015","CR254217",1.015,1.603,0.082431263882871,0.00992908405780814,0.132137316004242,0.0100780203186753,0.142215336322917
"692","X2000","CR248224",1.015,1.603,0.074364619139486,0.00464569978684602,0.119206484480596,0.00471538528364871,0.123921869764245
"693","X2005","CR248224",1.015,1.603,0.129979661346967,0.00464569978684602,0.208357397139187,0.00471538528364871,0.213072782422836
"694","X2010","CR248224",1.015,1.603,0.132371141569492,0.00464569978684602,0.212190939935896,0.00471538528364871,0.216906325219545
"695","X2012","CR248224",1.015,1.603,0.137964720638428,0.00464569978684602,0.221157447183399,0.00471538528364871,0.225872832467048
"696","X2015","CR248224",1.015,1.603,0.143841939575227,0.00464569978684602,0.230578629139089,0.00471538528364871,0.235294014422738
"697","X2000","CR253200",1.015,1.6985,0.0357069489001588,0.00321035808847386,0.0606482527069197,0.00325851345980097,0.0639067661667207
"698","X2005","CR253200",1.015,1.6985,0.0937568427364084,0.00321035808847386,0.15924599738779,0.00325851345980097,0.162504510847591
"699","X2010","CR253200",1.015,1.6985,0.115220872028801,0.00321035808847386,0.195702651140919,0.00325851345980097,0.19896116460072
"700","X2012","CR253200",1.015,1.6985,0.117297644880084,0.00321035808847386,0.199230049828822,0.00325851345980097,0.202488563288623
"701","X2015","CR253200",1.015,1.6985,0.119255257461729,0.00321035808847386,0.202555054798747,0.00325851345980097,0.205813568258548
