"","ID","Country","area_km2","Year","dEDD_luc","soyarea","Forarea","Y0","CD_Bioma","dyl","CRVln","areasoyp","Scenario"
"7311","CR263218","Brazil",2918,"X2040",0.0141229685395956,120850,220,3.93460410690308,3,-7.06123495286537e-05,82.0779451186756,0.414153529814942,"IDC3ZD"
"7312","CR263218","Brazil",2918,"X2045",0.0141229685395956,120850,220,4.10254452610016,3,-7.06123495286537e-05,85.5812720444728,0.414153529814942,"IDC3ZD"
"7313","CR263218","Brazil",2918,"X2050",0.0141229685395956,120850,220,4.27048494529724,3,-7.06123495286537e-05,89.0845989702699,0.414153529814942,"IDC3ZD"
"7314","CR263219","Brazil",2909,"X2015",1.09649908542633,32170,16640,3.03443315029144,3,-0.00546749397672586,17.2498143100882,0.110587830869715,"IDC3ZD"
"7315","CR263219","Brazil",2909,"X2020",1.09649908542633,32170,16640,3.2370842218399,3,-0.00546749397672586,18.4018229986354,0.110587830869715,"IDC3ZD"
"7316","CR263219","Brazil",2909,"X2025",1.09649908542633,26470,16640,3.41040421724319,3,-0.00546749397672586,15.9520163898592,0.0909934685458921,"IDC3ZD"
"7317","CR263219","Brazil",2909,"X2030",1.09649908542633,18510,16640,3.58372421264648,3,-0.00546749397672586,11.7218669849367,0.063630113441045,"IDC3ZD"
"7318","CR263219","Brazil",2909,"X2035",1.09649908542633,29250,16640,3.75971066951752,3,-0.00546749397672586,19.4328314780882,0.100550017188037,"IDC3ZD"
"7319","CR263219","Brazil",2909,"X2040",1.09649908542633,39320,16640,3.93569712638855,3,-0.00546749397672586,27.3458210867043,0.135166723960124,"IDC3ZD"
"7320","CR263219","Brazil",2909,"X2045",1.09649908542633,47260,16640,4.10368419885635,3,-0.00546749397672586,34.2707365579729,0.162461326916466,"IDC3ZD"
"7321","CR263219","Brazil",2909,"X2050",1.09649908542633,47260,16640,4.27167127132416,3,-0.00546749397672586,35.6736322065449,0.162461326916466,"IDC3ZD"
"7322","CR263221","Brazil",2892,"X2015",0.116176277399063,51580,1770,2.87423015451431,3,-0.000580712708064812,26.1584339884509,0.1783540802213,"IDC3ZD"
"7323","CR263221","Brazil",2892,"X2020",0.116176277399063,41450,1770,3.06618225622177,3,-0.000580712708064812,22.4249437601162,0.143326417704011,"IDC3ZD"
"7324","CR263221","Brazil",2892,"X2025",0.116176277399063,65500,1770,3.23035181689262,3,-0.000580712708064812,37.3336099155182,0.226486860304288,"IDC3ZD"
